iter	RMSE
0	5833.528635
1	5506.82614
2	5213.099369
3	4971.594155
4	4756.861525
5	4560.359371
6	4388.415556
7	4227.197507
8	4068.936617
9	3927.716351
10	3829.267096
11	3741.42219
12	3656.708881
13	3576.92383
14	3510.392022
15	3443.525842
16	3383.232295
17	3345.809499
18	3289.827277
19	3232.587653
20	3186.439862
21	3149.717358
22	3111.084476
23	3085.965997
24	3045.953003
25	3017.986348
26	2986.232213
27	2961.035609
28	2937.481718
29	2922.392036
30	2892.094983
31	2875.113755
32	2851.881794
33	2843.580844
34	2823.697285
35	2802.646388
36	2770.11177
37	2747.285478
38	2733.300884
39	2717.819212
40	2700.975726
41	2688.892867
42	2677.844414
43	2661.050215
44	2643.586716
45	2633.571911
46	2622.674935
47	2608.141658
48	2597.492007
49	2589.908037
50	2575.644469
51	2556.507286
52	2553.727944
53	2536.354554
54	2527.495345
55	2510.581263
56	2491.186378
57	2474.556398
58	2465.413915
59	2461.613303
60	2455.069451
61	2447.84608
62	2439.288804
63	2436.554415
64	2419.806242
65	2414.002354
66	2406.11571
67	2393.086401
68	2390.226511
69	2386.759954
70	2378.038924
71	2372.649495
72	2361.421011
73	2355.983519
74	2347.160177
75	2337.335085
76	2332.954816
77	2328.753561
78	2326.056067
79	2306.879274
80	2300.499867
81	2296.729152
82	2293.825402
83	2290.98718
84	2269.515499
85	2255.647431
86	2250.357934
87	2244.41716
88	2243.072468
89	2239.373529
90	2238.696145
91	2232.213168
92	2216.358994
93	2198.626372
94	2195.003275
95	2189.757859
96	2188.094605
97	2185.186822
98	2183.530054
99	2178.042037
100	2162.892217
101	2156.060674
102	2148.257813
103	2146.59291
104	2142.021282
105	2128.597835
106	2116.273163
107	2114.95428
108	2110.332207
109	2103.631016
110	2097.189617
111	2092.667509
112	2080.979673
113	2079.751112
114	2078.448965
115	2075.132587
116	2062.883593
117	2049.696085
118	2047.821271
119	2040.231717
120	2030.770962
121	2029.819972
122	2025.189044
123	2018.769149
124	2015.123999
125	2011.263198
126	2005.842433
127	2004.38987
128	1995.620241
129	1993.71309
130	1981.178567
131	1980.369733
132	1969.616821
133	1963.166598
134	1959.497286
135	1956.984353
136	1956.273706
137	1945.286005
138	1940.184376
139	1931.506919
140	1930.188641
141	1925.795972
142	1917.716427
143	1912.578466
144	1903.036816
145	1902.30157
146	1899.750945
147	1880.116355
148	1879.478516
149	1861.560097
150	1856.35702
151	1849.497436
152	1833.002994
153	1827.635086
154	1823.793415
155	1806.22433
156	1796.522096
157	1788.58586
158	1780.319924
159	1778.19971
160	1768.447565
161	1762.416598
162	1753.365254
163	1749.487624
164	1741.525963
165	1735.790089
166	1734.728802
167	1728.338965
168	1726.948377
169	1721.36551
170	1710.412422
171	1703.389541
172	1697.009733
173	1696.890254
174	1686.932539
175	1686.548666
176	1681.164218
177	1676.236106
178	1671.405165
179	1662.789055
180	1657.267537
181	1645.151916
182	1643.516642
183	1640.484874
184	1637.945688
185	1629.766204
186	1626.823169
187	1620.213769
188	1615.665238
189	1613.380107
190	1605.914814
191	1603.742434
192	1602.565414
193	1601.925193
194	1594.180457
195	1587.753944
196	1582.230693
197	1576.687701
198	1576.215129
199	1573.948989
