iter	Passed	Remaining
0	276	54989
1	278	27566
2	280	18416
3	282	13826
4	283	11072
5	286	9250
6	288	7955
7	290	6965
8	291	6194
9	293	5578
10	295	5075
11	297	4660
12	299	4310
13	303	4025
14	304	3758
15	306	3529
16	308	3324
17	310	3140
18	312	2975
19	313	2825
20	315	2688
21	317	2565
22	320	2466
23	322	2361
24	323	2264
25	326	2185
26	327	2101
27	329	2024
28	330	1951
29	341	1933
30	343	1871
31	344	1808
32	369	1868
33	370	1809
34	373	1761
35	375	1712
36	378	1668
37	380	1622
38	382	1579
39	384	1537
40	386	1498
41	388	1460
42	390	1424
43	391	1389
44	393	1354
45	394	1321
46	396	1289
47	398	1260
48	399	1232
49	400	1202
50	402	1175
51	403	1149
52	405	1124
53	406	1100
54	408	1076
55	409	1053
56	411	1031
57	413	1011
58	414	990
59	415	969
60	416	949
61	418	930
62	419	912
63	420	894
64	422	877
65	424	860
66	425	844
67	426	828
68	427	812
69	428	796
70	429	780
71	430	766
72	432	751
73	433	737
74	434	723
75	435	709
76	436	696
77	437	684
78	438	671
79	439	659
80	440	647
81	442	636
82	443	625
83	444	613
84	445	602
85	446	591
86	447	581
87	449	571
88	449	561
89	451	551
90	452	541
91	453	531
92	454	522
93	455	513
94	457	506
95	458	497
96	459	488
97	460	479
98	461	471
99	462	462
100	463	454
101	464	446
102	465	438
103	467	431
104	470	425
105	472	419
106	474	412
107	475	405
108	477	398
109	478	391
110	479	384
111	480	377
112	481	370
113	482	364
114	483	357
115	484	351
116	486	344
117	487	338
118	488	332
119	489	326
120	490	320
121	491	314
122	492	308
123	493	302
124	494	296
125	495	290
126	496	285
127	497	279
128	498	274
129	499	268
130	500	263
131	501	258
132	502	253
133	503	248
134	504	242
135	505	238
136	506	233
137	507	228
138	508	223
139	509	218
140	510	213
141	511	209
142	512	204
143	513	199
144	515	195
145	516	191
146	517	186
147	518	182
148	519	177
149	520	173
150	521	169
151	522	165
152	523	160
153	526	157
154	527	153
155	528	149
156	529	145
157	530	141
158	531	137
159	532	133
160	533	129
161	534	125
162	536	121
163	537	117
164	538	114
165	539	110
166	540	106
167	541	103
168	542	99
169	543	95
170	544	92
171	545	88
172	546	85
173	547	81
174	548	78
175	549	74
176	550	71
177	552	68
178	553	64
179	554	61
180	555	58
181	556	55
182	557	51
183	559	48
184	560	45
185	561	42
186	562	39
187	563	35
188	564	32
189	565	29
190	566	26
191	567	23
192	568	20
193	569	17
194	570	14
195	571	11
196	572	8
197	573	5
198	575	2
199	576	0
