iter	Passed	Remaining
0	112	22414
1	113	11247
2	114	7507
3	114	5634
4	115	4509
5	116	3759
6	116	3224
7	117	2822
8	118	2509
9	118	2258
10	119	2053
11	120	1883
12	120	1738
13	121	1614
14	122	1506
15	122	1412
16	123	1329
17	124	1254
18	124	1188
19	125	1128
20	125	1073
21	126	1025
22	127	980
23	128	938
24	128	900
25	129	865
26	129	832
27	130	802
28	131	774
29	131	747
30	132	723
31	133	699
32	133	677
33	134	656
34	134	636
35	135	617
36	136	600
37	136	583
38	137	567
39	138	552
40	138	538
41	139	524
42	140	511
43	140	498
44	141	486
45	141	475
46	142	464
47	143	453
48	143	443
49	144	433
50	145	423
51	145	414
52	146	406
53	147	397
54	147	389
55	148	381
56	148	373
57	149	366
58	150	359
59	150	352
60	151	345
61	152	338
62	152	332
63	153	325
64	154	319
65	154	314
66	155	308
67	155	302
68	156	297
69	157	291
70	157	286
71	158	281
72	159	276
73	159	271
74	160	267
75	161	262
76	161	258
77	162	253
78	162	249
79	163	245
80	164	241
81	164	237
82	165	233
83	166	229
84	166	225
85	167	221
86	168	218
87	168	214
88	169	211
89	169	207
90	170	204
91	171	201
92	171	197
93	172	194
94	173	191
95	173	188
96	174	185
97	175	182
98	175	179
99	176	176
100	176	173
101	177	170
102	178	167
103	178	165
104	179	162
105	180	159
106	180	157
107	181	154
108	182	152
109	182	149
110	183	147
111	184	144
112	184	142
113	185	139
114	186	137
115	186	135
116	187	132
117	187	130
118	188	128
119	189	126
120	189	123
121	190	121
122	191	119
123	191	117
124	192	115
125	193	113
126	193	111
127	194	109
128	194	107
129	195	105
130	196	103
131	196	101
132	197	99
133	198	97
134	198	95
135	199	93
136	200	92
137	200	90
138	201	88
139	202	86
140	202	84
141	203	83
142	204	81
143	204	79
144	205	77
145	206	76
146	206	74
147	207	72
148	208	71
149	208	69
150	209	67
151	209	66
152	210	64
153	211	63
154	211	61
155	212	59
156	213	58
157	213	56
158	214	55
159	215	53
160	215	52
161	216	50
162	217	49
163	217	47
164	218	46
165	219	44
166	219	43
167	220	41
168	221	40
169	221	39
170	222	37
171	223	36
172	223	34
173	224	33
174	224	32
175	225	30
176	226	29
177	226	28
178	227	26
179	228	25
180	228	24
181	229	22
182	229	21
183	230	20
184	231	18
185	232	17
186	232	16
187	233	14
188	233	13
189	234	12
190	235	11
191	235	9
192	236	8
193	237	7
194	237	6
195	238	4
196	239	3
197	239	2
198	240	1
199	241	0
